Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 108,Camp 6,6,50,0.75,3,1698.4,2074,245.9939894,5048,702
Scenario 108,Camp 7,6,50,0.75,3,2174.4,1628.42,314.8157568,5048,882
Scenario 108,Camp 1,6,50,0.75,3,428.4,2882.1,62.37228536,6310,236
Scenario 108,Camp 2,6,50,0.75,3,642.6,2860.68,93.34238923,6310,362
Scenario 108,Camp 3,6,50,0.75,3,1071,2817.84,155.2821978,6310,588
Scenario 108,Camp 4,6,50,0.75,3,4282.8,4500.96,619.6555543,6310,2128
Scenario 108,Camp 5,6,50,0.75,3,2483.6,742.52,359.5209775,6310,1096
Scenario 108,Camp 6,6,50,0.75,3,1698.4,2074,245.9939894,6310,860
Scenario 108,Camp 7,6,50,0.75,3,2174.4,1628.42,314.8157568,6310,1040
Scenario 11,Camp 1,6,40,0.25,1,428.4,2882.1,39.78775723,3786,39.78775723
Scenario 11,Camp 2,6,40,0.25,1,642.6,2860.68,59.54382304,3786,122
Scenario 11,Camp 3,6,40,0.25,1,1071,2817.84,99.05570001,3786,298
Scenario 11,Camp 4,6,40,0.25,1,4282.8,4500.96,395.2830111,3786,1350.212243
Scenario 11,Camp 5,6,40,0.25,1,2483.6,742.52,229.3411776,3786,758
Scenario 11,Camp 6,6,40,0.25,1,1698.4,2074,156.9214447,3786,534
Scenario 11,Camp 7,6,40,0.25,1,2174.4,1628.42,200.8233759,3786,684
Scenario 11,Camp 1,6,40,0.25,1,428.4,2882.1,39.78775723,5048,162
Scenario 11,Camp 2,6,40,0.25,1,642.6,2860.68,59.54382304,5048,270
Scenario 11,Camp 3,6,40,0.25,1,1071,2817.84,99.05570001,5048,462
Scenario 11,Camp 4,6,40,0.25,1,4282.8,4500.96,395.2830111,5048,1722
Scenario 11,Camp 5,6,40,0.25,1,2483.6,742.52,229.3411776,5048,894
Scenario 11,Camp 6,6,40,0.25,1,1698.4,2074,156.9214447,5048,694
Scenario 11,Camp 7,6,40,0.25,1,2174.4,1628.42,200.8233759,5048,844
Scenario 11,Camp 1,6,40,0.25,1,428.4,2882.1,39.78775723,6310,300
Scenario 11,Camp 2,6,40,0.25,1,642.6,2860.68,59.54382304,6310,416
Scenario 11,Camp 3,6,40,0.25,1,1071,2817.84,99.05570001,6310,624
Scenario 11,Camp 4,6,40,0.25,1,4282.8,4500.96,395.2830111,6310,2088
Scenario 11,Camp 5,6,40,0.25,1,2483.6,742.52,229.3411776,6310,1028
Scenario 11,Camp 6,6,40,0.25,1,1698.4,2074,156.9214447,6310,850
